gene	core	inter	rare	total_presence	truncation_assignments	gene_class	label	fill	means
group_3343	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0158652313441183
group_5127	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9463	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_5129	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_3347	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_3349	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9469	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9474	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_3359	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9478	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
dsbC_2	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_3362**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0158652313441183
group_13276	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_4243*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9483	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
umuC_1	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_3367	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9486*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9487	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_9489	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_13285	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173432525092691
group_6714	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_6492	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173432525092691
dcm_1	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_4208	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_4206	0	0	6	6	common variant (short)	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_5062*	0	0	6	6	common variant (short)	Rare	6/47	Multi-cluster rare	0.0173942833318859
group_3167	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0326418156743642
group_9927	0	0	6	6	common variant (long)	Rare	6/47	Multi-cluster rare	0.0342466901290431
group_6737	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0142073860878178
group_8411	0	1	5	6	normal	Varied	6/47	Intermediate and rare	0.0577656793846229
group_8467	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.00854572545534638
group_3513	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0378296891627917
group_2236	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0198219007556658
group_5461	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.040291764459975
group_3318	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.040291764459975
group_10447	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0215112983782784
group_10625	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0107245012382302
group_10846	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0302328441281261
group_10697	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.0162204921735435
group_9843	0	0	6	6	common variant (short)	Rare	6/47	Multi-cluster rare	0.0184227435755777
group_3662****	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0214026711891861
group_6375*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.013045153803471
group_5268	0	1	5	6	normal	Varied	6/47	Intermediate and rare	0.0514870470278986
group_15257	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.00764260164085935
group_10527	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0139155246421963
group_12175	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0199629387760848
group_3824*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0199629387760848
group_8519	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0147057545346246
group_4261**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0190259851453944
group_12572	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0154660527850138
group_9483*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0154660527850138
group_2251	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.015877833968381
group_4486	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0218044097761079
group_3990*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0125893112044676
group_6797	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0180838166989731
group_3993	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0180838166989731
group_6817	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0125893112044676
group_9716*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0258676994828559
group_4034**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0125893112044676
group_11452	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.02004010476872
group_5355	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0130151127882106
group_8170	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0125559759654374
group_4155*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0130151127882106
group_8177	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0189674937405916
group_1550	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0260226229548117
group_8191	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0189674937405916
group_5272	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0120968391426643
group_5263	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0189674937405916
group_1661*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0208024523793976
group_8934	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0208534832020144
group_10694	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0206251866377823
group_12093	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0146740670502991
group_1840	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0208534832020144
group_8923*	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0182312802873349
group_1690*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0206215114545714
group_1699	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0207235730998052
group_1579*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0207235730998052
group_5142	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0207235730998052
group_1582*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0207235730998052
group_8902*	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0205704806319546
group_1585	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0207235730998052
group_11514	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0200638259837243
group_11521	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0153019212218195
group_5497	0	0	6	6	common variant (short)	Rare	6/47	Multi-cluster rare	0.0326323048573467
group_5467	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.024413633683166
group_11318	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.010120290574907
group_8158	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0377226572299365
group_2804	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0351979858460773
group_3475	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.033424267201968
group_3653	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0377651633401202
group_3656***	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0175428275980772
group_3862*	0	1	5	6	normal	Varied	6/47	Intermediate and rare	0.0597277976865133
group_7731*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0242145120712897
group_1511	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.035794557969576
group_2479	17	22	5	44	common variant (long)	Varied	44/47	Core, intermediate and rare	0.72907891902306
group_1762	7	15	16	38	normal	Varied	38/47	Core, intermediate and rare	0.421579334754628
group_2662	0	2	7	9	normal	Varied	9/47	Intermediate and rare	0.11515039443898
group_2761	4	8	13	25	normal	Varied	25/47	Core, intermediate and rare	0.385449812068005
group_2759***	2	5	13	20	normal	Varied	20/47	Core, intermediate and rare	0.286895578527809
group_6353	0	2	10	12	normal	Varied	12/47	Intermediate and rare	0.086132133899458
group_4150	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0085541436766164
group_5776	0	4	8	12	normal	Varied	12/47	Intermediate and rare	0.213427904387984
group_6737*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00873215963065546
group_6557	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00938183769745385
group_7116	0	4	21	25	normal	Varied	25/47	Intermediate and rare	0.0979511553197386
group_3473	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.101919306389537
group_4168	0	5	28	33	common variant (long)	Varied	33/47	Intermediate and rare	0.0977844447747959
group_1599	0	5	28	33	common variant (long)	Varied	33/47	Intermediate and rare	0.0995998276296767
group_6545	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.038341782076394
group_1545*	0	1	20	21	normal	Varied	21/47	Intermediate and rare	0.0722519523985711
group_1844	0	5	28	33	common variant (long)	Varied	33/47	Intermediate and rare	0.101455487190816
group_1527	0	6	27	33	normal	Varied	33/47	Intermediate and rare	0.109380818531355
pndA_2	0	7	27	34	normal	Varied	34/47	Intermediate and rare	0.104912414279631
group_2908	1	14	21	36	normal	Varied	36/47	Core, intermediate and rare	0.278299244771438
group_7035	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0100629988369219
group_2170**	0	2	15	17	normal	Varied	17/47	Intermediate and rare	0.0569550959902246
group_2538	0	1	14	15	normal	Varied	15/47	Intermediate and rare	0.0592656858448702
group_8190	0	1	19	20	normal	Varied	20/47	Intermediate and rare	0.042300020617514
group_3501	0	1	19	20	normal	Varied	20/47	Intermediate and rare	0.042300020617514
folA_2	0	1	18	19	normal	Varied	19/47	Intermediate and rare	0.0527387741582917
group_2957**	0	6	11	17	normal	Varied	17/47	Intermediate and rare	0.207031898428324
group_1476	0	0	11	11	common variant (long)	Rare	11/47	Multi-cluster rare	0.0315345769530417
group_9621*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0155075777862218
group_11953	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.017040150271739
group_991	0	1	8	9	common variant (long)	Varied	9/47	Intermediate and rare	0.0369997238046131
group_7027*	0	0	16	16	common variant (long)	Rare	16/47	Multi-cluster rare	0.0311698307992111
group_10221	0	5	8	13	normal	Varied	13/47	Intermediate and rare	0.154559287404413
group_2443	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0132914998784398
group_3528**	0	1	11	12	normal	Varied	12/47	Intermediate and rare	0.0594034364964891
group_2300**	0	3	18	21	normal	Varied	21/47	Intermediate and rare	0.0547585418220163
group_7042	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0620859680420804
ptlF	0	3	18	21	normal	Varied	21/47	Intermediate and rare	0.053780068240803
group_7464*	0	3	17	20	normal	Varied	20/47	Intermediate and rare	0.0552091747067579
group_6399*	0	3	18	21	normal	Varied	21/47	Intermediate and rare	0.0534539103803986
group_6627	0	3	17	20	normal	Varied	20/47	Intermediate and rare	0.0562365719670319
group_4682	0	0	23	23	normal	Rare	23/47	Multi-cluster rare	0.041685883961409
group_9220*	0	3	17	20	normal	Varied	20/47	Intermediate and rare	0.0558941062136073
traG*	0	3	18	21	normal	Varied	21/47	Intermediate and rare	0.053780068240803
group_4213	0	0	17	17	normal	Rare	17/47	Multi-cluster rare	0.0249289746720972
group_599	0	0	17	17	normal	Rare	17/47	Multi-cluster rare	0.0258562620263865
group_5289	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0166876488364867
group_2672	0	0	25	25	normal	Rare	25/47	Multi-cluster rare	0.0391593345251345
group_1429	0	0	25	25	normal	Rare	25/47	Multi-cluster rare	0.0391470871277064
group_1431	0	0	25	25	normal	Rare	25/47	Multi-cluster rare	0.0391348397302784
traG**	0	0	27	27	normal	Rare	27/47	Multi-cluster rare	0.0461577666575292
group_1572	0	0	27	27	normal	Rare	27/47	Multi-cluster rare	0.0461804470231367
group_824	0	0	24	24	normal	Rare	24/47	Multi-cluster rare	0.0392605212927927
group_1444	0	0	25	25	normal	Rare	25/47	Multi-cluster rare	0.0391715819225625
group_2032	0	0	21	21	common variant (long)	Rare	21/47	Multi-cluster rare	0.0345857304950826
group_1456	0	0	26	26	normal	Rare	26/47	Multi-cluster rare	0.0389232006476104
group_2662*	0	0	26	26	normal	Rare	26/47	Multi-cluster rare	0.0468187376478955
group_6048*	0	0	27	27	normal	Rare	27/47	Multi-cluster rare	0.0483189632257357
group_3780	0	1	9	10	common variant (long)	Varied	10/47	Intermediate and rare	0.055949223603715
dam_3	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0276080800129588
group_10524*	0	0	13	13	common variant (long)	Rare	13/47	Multi-cluster rare	0.0373291376401687
group_6574	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0411137284593115
group_5352	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0358061000983402
group_1507	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0411137284593115
group_7565	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0369317963830713
group_2732*	0	1	14	15	common variant (long)	Varied	15/47	Intermediate and rare	0.0527075858313616
group_6013	0	0	10	10	common variant (long)	Rare	10/47	Multi-cluster rare	0.0463779294089898
group_9923	0	2	13	15	normal	Varied	15/47	Intermediate and rare	0.0550721994489659
group_9390*	0	3	15	18	common variant (long)	Varied	18/47	Intermediate and rare	0.111697250865626
group_9391**	0	3	15	18	normal	Varied	18/47	Intermediate and rare	0.101763575546822
group_6593**	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0115307505056881
group_7948	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0100583928347532
group_9933*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0152292431373198
group_2791	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0210403302724204
group_11285	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0115013866441324
group_2988	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0419103575745736
group_3878	0	0	8	8	common variant (long)	Rare	8/47	Multi-cluster rare	0.018709549764257
group_2733*	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0231195557718526
group_3455	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0250370943699612
group_6478	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00876835865824576
group_4186	0	1	4	5	normal	Varied	5/47	Intermediate and rare	0.0384414090911329
group_6148*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0309857562116386
group_4243**	0	0	12	12	normal	Rare	12/47	Multi-cluster rare	0.0317772675177702
group_2462	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0148877743879407
traS*	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0291989264164577
group_4374	0	1	6	7	normal	Varied	7/47	Intermediate and rare	0.0517106487776026
group_6534**	0	1	7	8	normal	Varied	8/47	Intermediate and rare	0.0352910391916608
group_2809*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0176765030538721
group_1744	0	1	6	7	normal	Varied	7/47	Intermediate and rare	0.039470845018981
group_6478*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0186478190914356
group_333	0	12	11	23	normal	Varied	23/47	Intermediate and rare	0.214648268912567
group_3899	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00980956374481542
group_8651	0	0	5	5	common variant (long)	Rare	5/47	Multi-cluster rare	0.0121209974906232
group_9564	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.014648627839976
group_6215	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_2235**	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_9149*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0146146072915648
group_5393	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_7019*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_7017*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
stpA_1	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0143741070510646
group_2208	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.014648627839976
group_2210	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
traG***	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_4617	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_4441	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_2215	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_7010	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_7008	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_2908*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_4624	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_4625	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_4626*	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_9138	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0148025213456701
group_6813**	0	0	14	14	common variant (long)	Rare	14/47	Multi-cluster rare	0.0204106292172915
group_8627	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00934648755600991
group_4483	0	0	14	14	normal	Rare	14/47	Multi-cluster rare	0.0334788822270527
group_3893****	0	0	25	25	common variant (long)	Rare	25/47	Multi-cluster rare	0.0315741995466191
group_10967	0	0	15	15	normal	Rare	15/47	Multi-cluster rare	0.0265933864490894
group_5430*	0	1	8	9	normal	Varied	9/47	Intermediate and rare	0.0731582236715651
group_2908**	2	3	13	18	normal	Varied	18/47	Core, intermediate and rare	0.212700136673468
group_2957***	0	0	16	16	normal	Rare	16/47	Multi-cluster rare	0.0341127159705438
group_7270	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.0161436739236923
ydiO	0	1	4	5	normal	Varied	5/47	Intermediate and rare	0.198081036815346
group_5952	0	1	4	5	normal	Varied	5/47	Intermediate and rare	0.198081036815346
ltxC	2	4	9	15	common variant (long)	Varied	15/47	Core, intermediate and rare	0.232891778797721
group_5878	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.0383896904861706
group_6949	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00996741522693538
group_2859**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.00601272549535131
group_3321	1	1	8	10	normal	Varied	10/47	Core, intermediate and rare	0.213230722656517
group_7712*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0113065447558081
group_4551	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0113065447558081
group_5698	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0196902339810063
group_10792	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0207500498068458
group_5083*	0	2	5	7	normal	Varied	7/47	Intermediate and rare	0.0843176639638399
group_1971*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0260517936594416
group_4426	0	1	19	20	normal	Varied	20/47	Intermediate and rare	0.0361958091992683
group_5077	0	0	10	10	normal	Rare	10/47	Multi-cluster rare	0.0327881341374465
group_3575	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.0161411136531797
group_2852	0	0	5	5	secondary variant (short)	Rare	5/47	Multi-cluster rare	0.0154289736885998
group_8897**	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0226077397931632
group_2142	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0143983327942166
group_3821	3	2	14	19	normal	Varied	19/47	Core, intermediate and rare	0.268734326838169
group_3820	3	2	14	19	normal	Varied	19/47	Core, intermediate and rare	0.268702096844937
group_11121*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0122744030408542
group_5216	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0271147982633701
group_4700*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0125042464687792
group_11677	0	0	5	5	common variant (long)	Rare	5/47	Multi-cluster rare	0.0167246096115195
group_12386	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0100083536651989
group_4452*	0	2	17	19	normal	Varied	19/47	Intermediate and rare	0.0462764951961166
group_10228	0	0	5	5	common variant (long)	Rare	5/47	Multi-cluster rare	0.0291584758972788
group_7608*	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.0223895855383859
group_1634	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.0223895855383859
group_2157	0	0	9	9	common variant (long)	Rare	9/47	Multi-cluster rare	0.025147001430819
group_7032*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0203976331571533
group_1853	1	4	11	16	normal	Varied	16/47	Core, intermediate and rare	0.15198803716217
group_4631	0	0	8	8	secondary variant (short)	Rare	8/47	Multi-cluster rare	0.0305877404023127
group_4660*****	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0193009686422795
group_5832	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0147672326745833
group_870	0	0	18	18	normal	Rare	18/47	Multi-cluster rare	0.0246674092923984
group_3878*	0	0	5	5	common variant (long)	Rare	5/47	Multi-cluster rare	0.0293485592947781
group_6148**	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0121707865682378
group_6692	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0189644546419847
group_6051*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0189644546419847
group_7658	0	0	4	4	normal	Rare	4/47	Multi-cluster rare	0.0138634564881102
flmA	0	0	5	5	secondary variant (short)	Rare	5/47	Multi-cluster rare	0.0171941387988084
group_7137	0	0	7	7	normal	Rare	7/47	Multi-cluster rare	0.0336038802396837
group_3706	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0343357720446669
group_6344*	0	0	11	11	normal	Rare	11/47	Multi-cluster rare	0.0243282319413185
group_6904	0	1	7	8	normal	Varied	8/47	Intermediate and rare	0.0565700722548135
group_4462	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0233629699676395
group_2228	0	0	5	5	secondary variant (short)	Rare	5/47	Multi-cluster rare	0.0364983205980436
group_6930*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0162855961243058
group_6398	0	0	21	21	normal	Rare	21/47	Multi-cluster rare	0.0237714472900031
group_10587	0	0	19	19	normal	Rare	19/47	Multi-cluster rare	0.0330811645099377
group_6966	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0281905796292509
group_2542	0	2	16	18	normal	Varied	18/47	Intermediate and rare	0.0656693065236988
group_3779**	0	3	11	14	normal	Varied	14/47	Intermediate and rare	0.105107083084788
group_10881	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00897005564439396
group_4794	0	0	9	9	normal	Rare	9/47	Multi-cluster rare	0.020085122130536
group_2658	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0452618696179375
group_49	3	7	10	20	normal	Varied	20/47	Core, intermediate and rare	0.325389810575689
group_1266	0	3	29	32	normal	Varied	32/47	Intermediate and rare	0.065014774474357
group_10622*	0	0	13	13	normal	Rare	13/47	Multi-cluster rare	0.0417466093503486
group_6551**	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0351450445200703
group_3618	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0351450445200703
group_3416	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.02320159921196
group_6112*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0103889861965219
group_10115	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0103889861965219
group_4024	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0142651539679996
group_4099	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0103058839098963
group_2709*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0280424118596073
group_6785*	0	1	17	18	normal	Varied	18/47	Intermediate and rare	0.045684521729198
group_9739	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0261663230359628
group_5153	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.011136190488058
group_9371	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0125469458908888
group_6975*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00643867281585677
group_1265	0	0	5	5	long variant	Rare	5/47	Multi-cluster rare	0.0171147265226641
afaD	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0232821225415166
group_9070	0	1	4	5	normal	Varied	5/47	Intermediate and rare	0.0464698630745326
group_1720	0	1	16	17	normal	Varied	17/47	Intermediate and rare	0.0364789357193521
group_3939*	0	1	16	17	normal	Varied	17/47	Intermediate and rare	0.0364969465979228
group_1722*	0	1	16	17	normal	Varied	17/47	Intermediate and rare	0.0356056810007748
group_8169	0	0	6	6	normal	Rare	6/47	Multi-cluster rare	0.0152341342123258
group_8737	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.023675402641955
group_11894	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0138166169977235
group_2329	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0138166169977235
group_2677	0	2	12	14	normal	Varied	14/47	Intermediate and rare	0.132602637072471
group_5622	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0369762728181317
group_9163	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0116999788706862
group_3617*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0308010783932633
group_3618*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0308010783932633
group_3339*	0	0	7	7	normal	Rare	7/47	Multi-cluster rare	0.0260530341748249
group_4021	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.014571542822642
group_9149**	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0161644541976952
group_7462*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0418174458066641
group_7468*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0418174458066641
group_1799*	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0440685280577464
group_4332*	0	2	11	13	normal	Varied	13/47	Intermediate and rare	0.0703537565347563
group_4555	0	1	7	8	normal	Varied	8/47	Intermediate and rare	0.0640075557601408
group_4748	0	2	7	9	normal	Varied	9/47	Intermediate and rare	0.117911458888625
group_4180	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0174009242340424
group_3968	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.0209047265166631
group_628	0	1	7	8	normal	Varied	8/47	Intermediate and rare	0.0658878125777931
group_2459***	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.0271983854919115
group_3166	0	0	8	8	normal	Rare	8/47	Multi-cluster rare	0.0271983854919115
group_7189**	0	0	5	5	normal	Rare	5/47	Multi-cluster rare	0.00556430830151807
